League,Year,OBP,SLG,BA,Playoffs,G,OOBP,OSLG,RD
NL,2002,0.321,0.381,0.253,0,162,0.346,0.442,-153
AL,2002,0.35,0.419,0.275,0,162,0.315,0.41,115
NL,2002,0.344,0.442,0.267,1,162,0.319,0.372,167
NL,2002,0.338,0.425,0.268,1,162,0.323,0.386,139
AL,2002,0.314,0.39,0.253,0,161,0.357,0.463,-245
AL,2002,0.338,0.455,0.269,0,162,0.355,0.451,-39
AL,2002,0.327,0.43,0.261,0,162,0.344,0.431,-15
AL,2001,0.327,0.405,0.261,0,162,0.331,0.412,-39
NL,2001,0.341,0.442,0.267,1,162,0.311,0.404,141
NL,2001,0.324,0.412,0.26,1,162,0.314,0.384,86
AL,2001,0.319,0.38,0.248,0,162,0.337,0.439,-142
AL,2001,0.334,0.439,0.266,0,161,0.329,0.393,27
NL,2001,0.336,0.43,0.261,0,162,0.321,0.398,76
AL,2001,0.334,0.451,0.268,0,162,0.334,0.427,3
NL,2001,0.324,0.419,0.262,0,162,0.341,0.455,-115
AL,2001,0.35,0.458,0.278,1,162,0.341,0.417,76
NL,2001,0.354,0.483,0.292,0,162,0.35,0.48,17
AL,2001,0.32,0.409,0.26,0,162,0.357,0.461,-152
NL,2001,0.326,0.423,0.264,0,162,0.338,0.411,-2
NL,2001,0.347,0.451,0.271,1,162,0.325,0.437,78
AL,2001,0.318,0.409,0.266,0,162,0.348,0.45,-129
NL,2001,0.323,0.425,0.255,0,162,0.323,0.411,14
NL,2001,0.319,0.426,0.251,0,162,0.35,0.44,-66
AL,2001,0.337,0.433,0.272,0,162,0.325,0.437,5
NL,2001,0.319,0.396,0.253,0,162,0.339,0.441,-142
NL,2001,0.323,0.387,0.249,0,162,0.314,0.419,-71
AL,2001,0.334,0.435,0.267,1,161,0.318,0.398,91
AL,2001,0.345,0.439,0.264,1,162,0.308,0.38,239
NL,2001,0.329,0.414,0.26,0,162,0.329,0.424,27
NL,2001,0.313,0.393,0.247,0,162,0.344,0.433,-201
NL,2001,0.336,0.399,0.252,0,162,0.33,0.45,-23
AL,2001,0.36,0.445,0.288,1,162,0.301,0.378,300
NL,2001,0.342,0.46,0.266,0,162,0.329,0.404,51
NL,2001,0.339,0.441,0.27,1,162,0.328,0.428,130
AL,2001,0.32,0.388,0.258,0,162,0.345,0.452,-215
AL,2001,0.344,0.471,0.275,0,162,0.362,0.494,-78
AL,2001,0.325,0.43,0.263,0,162,0.339,0.435,14
AL,2000,0.352,0.472,0.28,0,162,0.351,0.453,-5
NL,2000,0.333,0.429,0.265,0,162,0.326,0.424,38
NL,2000,0.346,0.429,0.271,1,162,0.319,0.402,96
AL,2000,0.341,0.435,0.272,0,162,0.352,0.449,-119
AL,2000,0.341,0.423,0.267,0,162,0.322,0.411,47
NL,2000,0.335,0.411,0.256,0,162,0.348,0.452,-140
AL,2000,0.356,0.47,0.286,1,162,0.346,0.434,139
NL,2000,0.343,0.447,0.274,0,163,0.341,0.438,60
AL,2000,0.367,0.47,0.288,0,162,0.35,0.425,134
NL,2000,0.362,0.455,0.294,0,162,0.354,0.471,71
AL,2000,0.343,0.438,0.275,0,162,0.34,0.443,-4
NL,2000,0.331,0.409,0.262,0,161,0.348,0.429,-66
NL,2000,0.361,0.477,0.278,0,162,0.353,0.476,-6
AL,2000,0.348,0.425,0.288,0,162,0.362,0.474,-51
NL,2000,0.341,0.431,0.257,0,162,0.332,0.407,69
NL,2000,0.325,0.403,0.246,0,163,0.357,0.42,-86
AL,2000,0.337,0.407,0.27,0,162,0.347,0.466,-132
NL,2000,0.326,0.432,0.266,0,162,0.353,0.449,-164
NL,2000,0.346,0.43,0.263,1,162,0.327,0.403,69
AL,2000,0.354,0.45,0.277,1,161,0.336,0.422,57
AL,2000,0.36,0.458,0.27,1,161,0.348,0.423,134
NL,2000,0.329,0.4,0.251,0,162,0.343,0.448,-122
NL,2000,0.339,0.424,0.267,0,162,0.361,0.432,-95
NL,2000,0.33,0.402,0.254,0,162,0.34,0.416,-63
AL,2000,0.361,0.442,0.269,1,162,0.339,0.416,127
NL,2000,0.362,0.472,0.278,1,162,0.342,0.412,178
NL,2000,0.356,0.455,0.27,1,162,0.338,0.434,116
AL,2000,0.329,0.399,0.257,0,161,0.345,0.451,-109
AL,2000,0.352,0.446,0.283,0,162,0.369,0.475,-126
AL,2000,0.341,0.469,0.275,0,162,0.354,0.456,-47
AL,1999,0.322,0.395,0.256,0,162,0.346,0.427,-115
NL,1999,0.347,0.459,0.277,1,162,0.32,0.402,232
NL,1999,0.341,0.436,0.266,1,162,0.314,0.377,179
AL,1999,0.353,0.447,0.279,0,162,0.35,0.441,36
AL,1999,0.35,0.448,0.278,1,162,0.315,0.398,118
NL,1999,0.329,0.42,0.257,0,162,0.346,0.467,-173
AL,1999,0.337,0.429,0.277,0,162,0.353,0.447,-93
NL,1999,0.341,0.451,0.272,0,163,0.324,0.411,154
AL,1999,0.373,0.467,0.289,1,162,0.347,0.439,149
NL,1999,0.348,0.472,0.288,0,162,0.384,0.499,-122
AL,1999,0.326,0.443,0.261,0,161,0.349,0.451,-135
NL,1999,0.325,0.395,0.263,0,162,0.359,0.44,-161
NL,1999,0.355,0.42,0.267,1,162,0.326,0.397,148
AL,1999,0.348,0.433,0.282,0,161,0.365,0.454,-65
NL,1999,0.339,0.42,0.266,0,162,0.336,0.422,6
NL,1999,0.353,0.426,0.273,0,161,0.356,0.457,-71
AL,1999,0.328,0.384,0.264,0,161,0.342,0.465,-159
NL,1999,0.323,0.427,0.265,0,162,0.342,0.418,-135
NL,1999,0.363,0.434,0.279,1,163,0.331,0.418,142
AL,1999,0.366,0.453,0.282,1,162,0.329,0.4,169
AL,1999,0.355,0.446,0.259,0,162,0.344,0.428,47
NL,1999,0.351,0.431,0.275,0,162,0.347,0.447,-5
NL,1999,0.334,0.419,0.259,0,161,0.343,0.42,-7
NL,1999,0.332,0.393,0.252,0,162,0.333,0.43,-71
AL,1999,0.343,0.455,0.269,0,162,0.368,0.454,-46
NL,1999,0.356,0.434,0.271,0,162,0.345,0.423,41
NL,1999,0.338,0.426,0.262,0,161,0.355,0.427,-29
AL,1999,0.343,0.411,0.274,0,162,0.371,0.448,-141
AL,1999,0.361,0.479,0.293,1,162,0.346,0.459,86
AL,1999,0.352,0.457,0.28,0,162,0.353,0.456,21
AL,1998,0.335,0.415,0.272,0,162,,,4
NL,1998,0.314,0.393,0.246,0,162,,,-147
NL,1998,0.342,0.453,0.272,1,162,,,245
AL,1998,0.347,0.447,0.273,0,162,,,32
AL,1998,0.348,0.463,0.28,1,162,,,147
NL,1998,0.337,0.433,0.264,1,163,,,39
AL,1998,0.339,0.444,0.271,0,163,,,-70
NL,1998,0.337,0.402,0.262,0,162,,,-10
AL,1998,0.347,0.448,0.272,1,162,,,71
NL,1998,0.347,0.461,0.291,0,162,,,-29
